AccessID,CategoryName,Description,URLPattern,AccessFrequency,AverageSessionDuration,BounceRate,ConversionRate,UserDemographics,DeviceType,TrafficSource,DateRecorded
44,Checkout Page,Then enough before total four impact.,explore,6669,8.83,32.42,2.34,18-24,Tablet,Direct,6/11/2024
45,Search Page,Fight dream doctor approach.,categories,5403,9.83,49.41,7.57,45-54,Mobile,Direct,5/13/2024
46,Login Page,Television clearly figure.,posts/tags,8710,5.06,62.75,2.61,18-24,Tablet,Social,4/30/2024
47,Category Page,Personal choice less main professor need.,blog,7643,1.67,66.06,5.99,35-44,Mobile,Direct,6/14/2024
48,Search Page,Might ten letter job.,search/wp-content,8035,8.11,74.07,0.25,45-54,Desktop,Direct,5/25/2024
49,Registration Page,Computer heart receive avoid assume life.,category/search,2806,8,29.96,3.19,45-54,Desktop,Organic Search,2/5/2024
50,Login Page,Ago popular decade cup fast without.,blog/app,6001,2.01,78.12,0.3,55+,Desktop,Organic Search,2/5/2024
51,Category Page,Finish exactly second positive program decade experience.,explore/search,5978,6.87,50.1,0.94,45-54,Tablet,Paid Search,5/15/2024
52,Registration Page,Music tonight six agency establish moment.,wp-content/explore,567,5.18,42.33,2.75,18-24,Mobile,Organic Search,3/24/2024
53,FAQ Page,People Democrat or letter give.,posts,6969,7.23,37.22,3.08,18-24,Desktop,Social,5/31/2024
54,Category Page,Rule person reality perform.,tags/search/category,5286,1.76,73.1,5.71,18-24,Desktop,Paid Search,4/21/2024
55,Registration Page,Value rest outside perform under almost.,wp-content,6102,9.56,68.88,2.94,35-44,Desktop,Direct,1/7/2024
56,Product Page,Herself military plan get.,explore,8970,8.04,47.32,1.37,25-34,Desktop,Referral,4/6/2024
57,Product Page,Building help catch daughter alone.,category/search/explore,4300,9.77,67.88,6.06,18-24,Tablet,Direct,2/15/2024
58,FAQ Page,Hand buy also artist get worry analysis.,list,5122,1.06,73.82,9.21,35-44,Desktop,Referral,3/10/2024
59,Home Page,Ever blood least before fact image mean.,app,9081,2.62,43.72,3.13,45-54,Desktop,Referral,3/25/2024
60,Checkout Page,Party ago drug forward.,app/category/explore,568,3.63,62.72,9.68,55+,Mobile,Paid Search,4/26/2024
61,Category Page,Ahead book article then get.,list,2514,9.37,50.54,1.77,18-24,Mobile,Social,3/29/2024
62,Search Page,Item effect campaign imagine church technology shoulder.,app/list/blog,9421,1.74,62.33,6.58,18-24,Mobile,Organic Search,3/23/2024
63,Registration Page,Of writer customer movie so.,tags/search/app,3911,9.63,68.76,3.33,25-34,Mobile,Organic Search,4/15/2024
64,Search Page,Old here class fish a.,category/main/list,7894,5.48,46.22,4.31,25-34,Desktop,Social,1/5/2024
65,Registration Page,Ball worry sure particularly.,search,3782,9.39,42.84,6.28,45-54,Mobile,Paid Search,3/31/2024
66,Account Page,Sport teach seven dream.,posts/main,3419,6.12,52.36,6.57,18-24,Tablet,Direct,6/8/2024
67,Blog Page,Interview where author represent player positive child.,search,3406,5.14,60.93,8.48,25-34,Mobile,Direct,3/23/2024
68,Product Page,Prepare recent reason pass area.,blog/categories,1115,2.42,75.09,9.09,18-24,Desktop,Organic Search,3/17/2024
69,Home Page,History require door.,categories,1833,2.34,78.77,5.53,45-54,Mobile,Organic Search,1/9/2024
70,Account Page,Bit month happen radio else night we.,tags/category/main,8921,7.51,41.12,3.47,25-34,Mobile,Direct,1/6/2024
71,Home Page,Evening firm majority care until year.,app/wp-content,4519,3.21,52.18,7.3,35-44,Mobile,Organic Search,1/17/2024
72,Account Page,Wide tonight money.,app/wp-content/category,4554,8.9,20.17,7.2,35-44,Tablet,Referral,5/1/2024
73,Blog Page,Catch bring past.,categories,9736,2.08,50.81,3.18,45-54,Tablet,Social,3/5/2024
74,Checkout Page,Reason reveal protect.,tags/app,6720,8.09,42.91,8.72,35-44,Tablet,Referral,5/18/2024
75,Home Page,Crime majority government where ahead concern they.,search/app/posts,4822,3.34,68.07,8.86,18-24,Desktop,Direct,1/25/2024
76,Search Page,Building third bed concern.,main,132,6.8,38.4,2.45,35-44,Tablet,Social,2/9/2024
77,Account Page,Everyone place exist sister available fall daughter.,posts/list,8155,2.51,26.51,0.53,55+,Tablet,Referral,5/14/2024
78,Product Page,Book of future lead hundred full.,list/tag,4718,9.55,65.53,3.91,35-44,Mobile,Referral,2/29/2024
79,Login Page,Institution look still buy deep.,blog,9352,2.11,73.77,9.82,18-24,Mobile,Social,1/8/2024
80,Category Page,Religious structure return us thing.,category,1427,5.53,38.84,5.43,25-34,Mobile,Paid Search,3/3/2024
81,Home Page,Improve simply use new college.,posts/list,3816,6.63,73.92,5.18,25-34,Desktop,Paid Search,2/15/2024
82,Home Page,Security place party art why alone.,category/posts/explore,2537,7.92,71.93,5.61,45-54,Tablet,Direct,5/9/2024
83,Category Page,Open help cold father yet bed summer city.,blog,8138,9.52,64.71,2.69,55+,Mobile,Social,3/31/2024
84,Account Page,Surface challenge talk training.,app/tag,7110,5.55,73.09,7.3,18-24,Desktop,Social,5/20/2024
85,Account Page,Nearly address leave century rest mean cost.,explore/tag,3427,7.03,73.17,3.19,55+,Mobile,Paid Search,4/9/2024
86,Category Page,Poor major news.,main,4469,8.06,49.76,5.73,35-44,Desktop,Direct,4/14/2024
87,Blog Page,Much amount account produce quality trade.,main/explore,1495,4.76,20.3,6.41,25-34,Tablet,Direct,2/15/2024
88,Product Page,Bag material whom during.,wp-content,359,9.82,20.44,1.73,45-54,Mobile,Organic Search,1/3/2024
89,Account Page,Word dinner PM art.,blog/category,2932,6.79,26.69,6.58,18-24,Desktop,Organic Search,1/25/2024
90,Search Page,Certain view or low.,list/app/tag,6572,6.26,76.2,5.52,45-54,Mobile,Referral,5/4/2024
91,Checkout Page,War building itself film.,list/explore/tag,4608,7.83,51.85,6.41,45-54,Mobile,Social,3/5/2024
92,Product Page,Participant meeting word another environment.,search/categories,2460,8.07,64.05,8.48,25-34,Mobile,Paid Search,3/7/2024
93,Registration Page,Actually economy course expect table explain stand.,blog,153,9.23,38.75,6.99,18-24,Desktop,Referral,3/25/2024
94,Account Page,Admit western politics compare.,list/main,1800,2.5,28.04,8.96,35-44,Tablet,Direct,4/3/2024
95,Account Page,Soon people go information main Mr.,search/search/tag,7558,9.61,41.39,4.06,55+,Desktop,Referral,6/13/2024
96,Checkout Page,Age collection air.,tag/categories,8884,5.9,29.76,1.06,45-54,Tablet,Direct,3/30/2024
97,Search Page,Once have drop behavior reduce.,blog/tags,5688,2.88,54.9,5.05,35-44,Tablet,Social,4/7/2024
98,Login Page,Consider near nor list leave a sell.,list/list,9171,6.33,22.21,7.6,55+,Tablet,Paid Search,2/17/2024
99,Search Page,Against happy green most.,explore,1438,5.7,71.01,3.52,35-44,Desktop,Paid Search,6/10/2024
100,Login Page,Democratic fire stuff he people.,category/list/category,4278,9.18,42.63,8.98,45-54,Desktop,Referral,4/27/2024
101,FAQ Page,Analysis must while different analysis best.,main/category/wp-content,2603,5.64,54.54,9.34,18-24,Mobile,Paid Search,5/23/2024
102,Category Page,Next recognize crime note article.,blog/wp-content,4914,8.57,24.11,2.28,45-54,Mobile,Organic Search,5/24/2024
103,FAQ Page,Across compare against people any information.,posts/tag/wp-content,6982,8.51,59,7.72,55+,Desktop,Social,2/4/2024
104,Search Page,Case book buy service gas pass because.,list,1438,7.73,70.58,3.52,55+,Tablet,Direct,2/19/2024
105,Blog Page,Young continue support.,tags/explore,4054,2.46,69.23,2.9,35-44,Desktop,Organic Search,5/25/2024
106,FAQ Page,Late as time agent president take.,search/tag/explore,7907,1.94,51.12,7.47,55+,Desktop,Referral,5/31/2024
107,Account Page,Total list economic sign have.,explore/app,2923,8.93,32.97,1.52,25-34,Tablet,Direct,1/20/2024
108,FAQ Page,Traditional stop might attention most tough believe politics.,main,4648,5.3,63.19,8.68,45-54,Desktop,Referral,5/20/2024
109,Category Page,Program heavy human however true green.,search/tags/app,5439,7.06,51.39,4.28,55+,Tablet,Paid Search,4/23/2024
110,Home Page,Four cost radio mean answer activity start.,categories/list/category,5659,1.99,35.35,5.95,55+,Mobile,Referral,3/30/2024
111,Checkout Page,Paper which party campaign environmental four discover.,posts,1482,6.74,62,8.1,55+,Mobile,Referral,4/4/2024
112,Home Page,Enjoy true as rich fall.,blog,2405,6.75,44.66,1.24,25-34,Tablet,Organic Search,3/1/2024
113,Login Page,Cover reach step peace.,category,4973,5,34.76,7.63,45-54,Mobile,Social,5/26/2024
114,Checkout Page,Consider couple conference government shoulder successful them newspaper.,wp-content/search,9150,7.36,66.6,7.16,18-24,Mobile,Paid Search,6/4/2024
115,Blog Page,Third dark of election cause camera.,tags,896,5.89,32.23,0.32,18-24,Mobile,Direct,2/1/2024
116,Product Page,Anything cost how stock.,search,9420,2.55,56.18,3.34,25-34,Desktop,Organic Search,2/25/2024
117,Registration Page,Foreign similar outside individual fight stop true.,list/categories/explore,7197,2.63,68.7,2.67,25-34,Mobile,Referral,4/10/2024
118,Search Page,Attack special college.,main/list/explore,577,8.75,79.22,2.48,25-34,Tablet,Referral,4/28/2024
119,Login Page,Number time beautiful us.,explore/list,1340,7.13,31.8,7.35,45-54,Desktop,Referral,2/20/2024
120,Search Page,Mean control property sense mean record.,wp-content/list/tag,5938,9.13,54.61,5.43,45-54,Mobile,Direct,4/2/2024
121,Product Page,Her successful economic say shoulder science rise.,app/categories,8746,9.23,60.7,7.63,25-34,Mobile,Social,3/30/2024
122,Search Page,Concern station might executive condition participant individual.,main/search/tag,8933,8.95,68.21,6,35-44,Desktop,Organic Search,3/29/2024
123,FAQ Page,Position put focus sort care mention image court.,wp-content/app/blog,2520,3.25,48.32,1.66,25-34,Desktop,Social,2/17/2024
124,Search Page,Low home produce first situation true.,tags/blog,6043,2.22,44.71,9.85,35-44,Tablet,Direct,2/15/2024
125,Search Page,Star staff career carry play.,posts/tag/explore,2911,2.12,41.7,5.95,18-24,Desktop,Social,2/11/2024
126,Login Page,From office similar past peace property but prevent.,categories/main/blog,4531,1.54,79.62,6.03,45-54,Tablet,Organic Search,2/29/2024
127,Checkout Page,Well tonight that do style.,tags,5752,5.9,63.39,6.52,18-24,Tablet,Paid Search,1/5/2024
128,Search Page,About price not.,list,3619,7.97,53.78,0.8,18-24,Desktop,Organic Search,5/15/2024
129,Login Page,Night town rest who Congress better father leader.,explore/list,894,5.5,39.82,8.98,55+,Mobile,Organic Search,6/8/2024
130,Search Page,Recognize consider matter herself off suggest imagine.,posts/search/explore,4869,9.27,21.3,2.13,25-34,Desktop,Organic Search,2/26/2024
131,Registration Page,Network strong onto allow work edge.,app/explore,9500,9.44,47.24,4.49,25-34,Mobile,Paid Search,2/13/2024
132,Search Page,Too speak black PM free either development.,list/list,8347,7.28,48.49,9.54,25-34,Desktop,Social,4/25/2024
133,Account Page,Remember garden forget TV.,explore/tag/tags,9679,8.22,54.44,3.23,25-34,Tablet,Referral,1/13/2024
134,Account Page,Manager bed vote meet wrong main than society.,posts,880,3.76,32.14,9.79,18-24,Tablet,Direct,5/24/2024
135,Checkout Page,Response leader necessary purpose fast discuss most.,tags,2516,1.03,64.1,0.91,25-34,Tablet,Social,4/16/2024
136,Category Page,Continue history school arm dinner.,category/categories,2835,4.87,44.53,4.6,25-34,Tablet,Paid Search,4/24/2024
137,Checkout Page,One five person scientist.,blog/categories/wp-content,7795,3.97,47.14,4.49,25-34,Tablet,Organic Search,3/27/2024
138,Product Page,Discuss involve imagine nation.,wp-content/list,5298,3.87,46.26,4.59,55+,Tablet,Referral,5/11/2024
139,Account Page,Provide piece street concern color sea none.,categories/categories/explore,1556,9.25,58.53,8.52,55+,Desktop,Paid Search,5/3/2024
140,Checkout Page,Institution civil certainly word alone into.,list/explore/posts,3449,1.67,54.4,0.15,18-24,Mobile,Paid Search,6/21/2024
141,Search Page,Throw film clear official job tree.,tags/categories/categories,175,1.25,40.79,2.83,55+,Desktop,Paid Search,4/7/2024
142,Search Page,This paper news understand current adult seek woman.,search,4263,8.6,23.42,9.11,25-34,Desktop,Organic Search,4/26/2024
143,Registration Page,Individual gun memory idea doctor own where.,app,5578,8.03,23.07,1.62,55+,Tablet,Referral,4/18/2024
144,Category Page,Thousand accept run because small history.,search/explore/search,357,9.4,23.47,8.52,25-34,Desktop,Organic Search,5/17/2024
145,Registration Page,Listen relate nation price sure.,app/app,5743,1.18,59.21,0.88,55+,Tablet,Referral,3/21/2024
146,Home Page,During on hear start line he child.,main,6725,1.81,35.72,2.74,55+,Tablet,Organic Search,2/19/2024
147,Account Page,Modern within deep have mention meet law.,category/tag,9451,5.69,34.34,0.27,55+,Desktop,Referral,6/14/2024
148,Home Page,Wide control still state material.,explore/list/tags,9793,8.1,35.78,9.63,35-44,Desktop,Referral,5/11/2024
149,FAQ Page,Right operation service treat me traditional chair note.,search,7078,4.75,26.79,6.42,18-24,Desktop,Referral,6/18/2024
150,Product Page,Compare government well few.,list/category/main,6083,6.45,59.64,9.01,45-54,Desktop,Referral,2/25/2024
151,Account Page,Deal woman hospital lead.,explore/tag/category,195,5.7,28.73,7.1,45-54,Desktop,Paid Search,4/29/2024
152,Home Page,Center national time report pass.,list/tags/explore,2451,4.81,30.37,5.17,18-24,Desktop,Organic Search,2/10/2024
153,Login Page,Speak shoulder rich.,list/app/wp-content,596,6.7,39.22,0.86,35-44,Tablet,Referral,6/1/2024
154,Login Page,Similar space air field.,posts/posts,5401,8.16,36.24,8.71,35-44,Tablet,Paid Search,4/5/2024
155,FAQ Page,Machine imagine rich condition again wonder go.,blog/tag/list,4517,2.71,29.8,1.43,45-54,Tablet,Direct,1/3/2024
156,Login Page,Pattern structure medical wonder with.,app/category/list,5537,8.31,70.94,6.49,45-54,Mobile,Organic Search,3/24/2024
157,Blog Page,Executive those someone lose police receive respond.,blog/categories/blog,6227,1.52,60.83,3.41,25-34,Tablet,Referral,2/23/2024
158,FAQ Page,Development per whatever it.,tags,1231,6.67,50.47,2.12,55+,Mobile,Direct,5/25/2024
159,Login Page,New four impact exist offer someone several.,categories/wp-content,3238,6.11,31.86,1.02,25-34,Mobile,Social,6/17/2024
160,Registration Page,Interesting staff admit before letter.,main/posts,4861,4.12,30.62,4.72,45-54,Desktop,Referral,6/8/2024
161,Product Page,Establish theory without.,explore/tags,2525,8.34,32.09,2.21,18-24,Desktop,Paid Search,3/26/2024
162,Blog Page,Few generation wish return year.,wp-content/categories/categories,6448,2.26,31.13,2.01,45-54,Tablet,Social,4/1/2024
163,Account Page,Minute billion military draw future quickly.,category/wp-content/search,2925,8.1,46.37,0.69,45-54,Mobile,Referral,2/29/2024
164,Login Page,Radio oil professor town.,category,4036,6.99,57.24,3.55,25-34,Tablet,Referral,5/21/2024
165,Search Page,All performance recent.,list,7160,4.07,59.09,3.79,35-44,Tablet,Social,1/1/2024
166,FAQ Page,Value mother course my available nice kid against.,category/category/category,1304,2.13,54,1.06,35-44,Desktop,Referral,2/26/2024
167,Search Page,Man dream left media.,category/tag,2183,2.52,39.25,6.14,45-54,Tablet,Organic Search,5/18/2024
168,Login Page,Civil car why race no wide.,tags/explore,3606,2.38,65.12,2.51,45-54,Mobile,Organic Search,5/18/2024
169,FAQ Page,Information south too provide service.,tags/wp-content,4044,2.55,59.15,1.86,45-54,Tablet,Organic Search,1/8/2024
170,Home Page,Represent news out.,categories/blog/blog,3444,3.68,43.95,3.63,25-34,Tablet,Direct,3/9/2024
171,Search Page,Mr lawyer the.,blog/list/category,6514,2.53,51.94,4.58,55+,Desktop,Referral,1/23/2024
172,Category Page,One put yeah own thank everyone leader.,category/blog/wp-content,9493,7.33,29.21,5.62,25-34,Mobile,Organic Search,4/16/2024
173,Category Page,Indicate music affect whole issue yeah pull.,blog/categories/category,4013,9.34,44.01,1.1,25-34,Desktop,Referral,1/30/2024
174,Registration Page,Dark already those civil.,wp-content,3866,9.01,53.44,1.45,35-44,Tablet,Social,4/24/2024
175,Login Page,Eat single drop future.,search,7694,8.26,38.1,8.16,55+,Mobile,Paid Search,4/7/2024
176,Registration Page,Cover general paper case officer.,wp-content/posts/list,4472,2.33,76.77,8.18,18-24,Mobile,Social,3/17/2024
177,Product Page,A section fact.,list,264,9.83,26.69,6.07,25-34,Mobile,Direct,1/13/2024
178,Search Page,State my parent chair doctor third them.,posts/blog,4338,7.75,54.79,3.18,55+,Tablet,Referral,1/10/2024
179,Login Page,But reality garden all.,explore/blog,9004,6.7,51.58,9.52,55+,Desktop,Direct,3/20/2024
180,Search Page,Discover executive issue arm commercial military agreement.,categories/search,5701,6.73,38.1,9.74,35-44,Mobile,Referral,6/5/2024
181,FAQ Page,Hot out often program professor agent cup.,categories/categories/main,965,6.25,72.03,2.72,18-24,Desktop,Direct,4/16/2024
182,Login Page,Human sure national side.,tag/explore/posts,2817,4.46,28.05,4.34,45-54,Mobile,Direct,3/14/2024
183,Account Page,Per response ready my fight sing southern.,wp-content,6845,5.36,59.44,2.55,25-34,Desktop,Referral,5/23/2024
184,FAQ Page,Think including yes where.,tags,5510,8.49,37.03,0.52,35-44,Tablet,Organic Search,6/12/2024
185,Search Page,Character effect computer.,categories/search,6430,9.35,50.78,8.6,18-24,Tablet,Referral,2/17/2024
186,Checkout Page,Glass cup various without understand art.,tag/search,2524,5.25,61.79,4.12,18-24,Mobile,Direct,1/4/2024
187,Blog Page,Offer campaign interview attorney.,blog/posts,6242,2.36,54.86,3.54,18-24,Tablet,Social,2/24/2024
188,Search Page,Guy ago eat.,wp-content/tags/categories,6255,3.4,35.84,2.41,35-44,Desktop,Paid Search,1/27/2024
189,Product Page,Question say much always.,main/categories/list,2707,2.56,48.87,4.91,18-24,Mobile,Referral,6/8/2024
190,Product Page,Front war including hope.,wp-content/blog,6872,1.55,31.9,8.47,55+,Tablet,Paid Search,3/7/2024
191,Checkout Page,Wait show end early training daughter.,main/blog/search,9189,4.25,54.14,7.33,45-54,Tablet,Paid Search,5/10/2024
192,Home Page,His girl me explain.,explore/categories,3594,9.64,45.74,0.59,25-34,Mobile,Organic Search,3/6/2024
193,Product Page,Town name well.,list/blog,9052,5.02,26.99,1.52,35-44,Mobile,Direct,1/8/2024
194,Product Page,Deep spring role past truth personal.,app,4047,2.33,26.38,4.05,25-34,Mobile,Referral,3/19/2024
195,Account Page,Herself will rock position glass.,wp-content,4415,9.78,35.31,4.7,18-24,Desktop,Organic Search,3/23/2024
196,Product Page,Measure area cold apply attack.,wp-content/posts/category,9507,2.44,77.06,5.88,18-24,Mobile,Social,5/11/2024
197,Login Page,Rock tell Mrs maintain.,app/blog/main,5065,9.75,50.35,7.03,55+,Mobile,Paid Search,3/29/2024
198,Account Page,Media article similar soldier have movie.,category/list,9822,1.36,79.66,7.74,55+,Mobile,Direct,6/15/2024
199,Category Page,Enter let include people start to.,blog/categories,4744,1.38,35.09,1.48,18-24,Desktop,Social,2/7/2024
200,Blog Page,Feel almost laugh test.,wp-content,7447,4.89,63.38,0.57,45-54,Desktop,Referral,2/25/2024
