TrendID,TrendName,Description,StartDate,EndDate,ProductGroupID,MarketSegment,GrowthRate,PopularityIndex,Region,CompetitorImpact
126,Trend 126,Nation challenge particularly final away mean authority.,1/19/2020,6/14/2023,108,Wearable Technology,0.47,85,Africa,Low
127,Trend 127,Newspaper PM politics expect media.,3/5/2024,2/7/2024,148,Consumer Electronics,0.07,95,Asia,High
128,Trend 128,Put trial before modern old once thousand down.,11/22/2021,6/8/2023,19,Business Electronics,0.2,95,North America,Low
129,Trend 129,Thank knowledge class economic fast build.,5/7/2024,9/18/2020,152,Gaming,0.33,13,Africa,Low
130,Trend 130,Science maybe hear quickly than.,3/19/2024,1/8/2020,30,Gaming,0.38,82,Europe,Low
131,Trend 131,Put will great international.,10/4/2021,6/30/2022,109,Gaming,0.03,75,North America,Medium
132,Trend 132,Either quickly purpose.,2/2/2023,4/21/2024,13,Consumer Electronics,0.41,39,Australia,Medium
133,Trend 133,Control onto its.,11/7/2021,4/29/2024,121,Gaming,0.46,62,South America,Low
134,Trend 134,Want player not near team ground heavy ago.,6/24/2020,2/19/2023,10,Consumer Electronics,0.06,15,Asia,High
135,Trend 135,Someone everything consumer office.,6/14/2020,10/25/2021,16,Gaming,0.02,20,Africa,Medium
136,Trend 136,Doctor Mr article enjoy number.,1/26/2020,6/2/2023,47,Consumer Electronics,0.35,22,Asia,Low
137,Trend 137,Source bill group structure.,11/13/2020,11/13/2022,36,Home Automation,0.22,10,Asia,Medium
138,Trend 138,Film require last certain wear.,7/13/2022,4/20/2021,38,Consumer Electronics,0.06,21,South America,Medium
139,Trend 139,He good receive pick mind media imagine.,6/19/2021,12/6/2020,106,Wearable Technology,0.1,81,South America,Low
140,Trend 140,Develop concern usually bar.,2/23/2020,1/18/2021,140,Consumer Electronics,0.29,40,Europe,Medium
141,Trend 141,Standard event lead himself back dream ten collection.,5/11/2021,11/9/2020,117,Consumer Electronics,0.44,75,Australia,Medium
142,Trend 142,Without black scene state money score pressure air.,6/23/2022,5/15/2024,171,Wearable Technology,0.37,32,North America,High
143,Trend 143,I arm painting adult school.,4/4/2021,8/2/2023,35,Consumer Electronics,0.2,100,Europe,Low
144,Trend 144,East live next entire student move school.,8/13/2023,8/11/2021,39,Gaming,0.27,35,North America,Low
145,Trend 145,Here account paper material skin.,7/26/2022,1/21/2023,116,Consumer Electronics,0.04,94,North America,Medium
146,Trend 146,Key international small feel majority else.,12/20/2022,12/18/2022,133,Gaming,0.18,39,Africa,High
147,Trend 147,Reduce lead up third affect.,6/18/2024,8/6/2022,65,Business Electronics,0.26,1,Asia,Medium
148,Trend 148,Pull end appear interview hold writer.,9/5/2021,6/22/2022,127,Consumer Electronics,0.06,68,Africa,High
149,Trend 149,Also despite someone sound quality experience.,10/31/2022,6/18/2023,158,Gaming,0.12,46,South America,Medium
150,Trend 150,Gas rate town perhaps people table thought.,1/5/2021,4/20/2020,6,Wearable Technology,0.26,43,North America,Medium
151,Trend 151,Positive same serious.,11/16/2023,3/17/2021,148,Consumer Electronics,0.09,50,Asia,Medium
152,Trend 152,Office late inside second.,6/19/2023,5/31/2020,1,Business Electronics,0.1,33,Asia,High
153,Trend 153,Main defense defense.,12/2/2023,11/16/2023,193,Gaming,0.06,56,Asia,High
154,Trend 154,Like large detail us.,11/17/2022,4/27/2020,111,Home Automation,0.13,42,North America,Medium
155,Trend 155,Should number floor list record result entire.,9/16/2023,12/20/2020,54,Consumer Electronics,0.25,56,South America,Low
156,Trend 156,Ten wall memory decade.,9/25/2023,3/5/2024,72,Consumer Electronics,0.39,93,Europe,Low
157,Trend 157,Bill Democrat think election read whether one.,4/21/2024,8/13/2020,51,Gaming,0.32,18,Africa,Medium
158,Trend 158,Theory reach election three.,4/2/2023,1/16/2024,34,Consumer Electronics,0.16,57,North America,Medium
159,Trend 159,Former light the outside.,8/12/2022,5/30/2020,21,Gaming,0.39,6,Asia,Medium
160,Trend 160,News central past there.,7/30/2020,2/16/2024,37,Wearable Technology,0.19,69,Africa,Low
161,Trend 161,May put usually someone top.,3/28/2020,7/5/2021,159,Consumer Electronics,0.12,65,Australia,Low
162,Trend 162,Skin begin its.,12/18/2023,2/5/2021,108,Business Electronics,0.35,9,Australia,Low
163,Trend 163,Pretty stop evening impact.,5/20/2024,5/7/2020,163,Home Automation,0.4,64,South America,High
164,Trend 164,Run relate a record play store.,4/28/2022,4/20/2024,143,Consumer Electronics,0.22,81,Africa,Medium
165,Trend 165,Stage population nor music edge.,4/30/2021,7/31/2023,35,Business Electronics,0.26,67,South America,Medium
166,Trend 166,Population why smile many stock.,9/1/2020,2/26/2022,105,Consumer Electronics,0.34,100,Europe,Low
167,Trend 167,Do sound commercial single travel easy choose.,12/25/2023,12/18/2020,163,Gaming,0.32,17,Asia,Low
168,Trend 168,Argue recognize particular very else catch month.,1/29/2020,4/4/2020,50,Business Electronics,0.2,25,Africa,Low
169,Trend 169,Suddenly air hear reduce window a.,12/12/2022,10/30/2023,164,Wearable Technology,0.14,14,Australia,High
170,Trend 170,Perhaps moment probably success security somebody.,4/26/2020,10/18/2020,173,Home Automation,0.22,19,Europe,High
171,Trend 171,Sell wonder check himself.,1/1/2024,10/20/2021,131,Consumer Electronics,0.21,20,Africa,Medium
172,Trend 172,Eat parent big.,6/22/2023,5/19/2024,95,Business Electronics,0.4,77,Asia,High
173,Trend 173,Soon answer floor many girl every industry.,8/18/2020,3/24/2024,144,Home Automation,0.46,66,South America,Medium
174,Trend 174,Wait movement computer second.,6/4/2024,5/9/2020,107,Home Automation,0,16,Asia,Low
175,Trend 175,Reach with parent around management.,9/29/2022,10/27/2022,105,Home Automation,0.17,93,Asia,High
176,Trend 176,Half contain who thought.,3/4/2021,12/18/2023,65,Consumer Electronics,0.12,95,Africa,Medium
177,Trend 177,Since new look something leave risk business.,12/24/2022,5/19/2024,124,Business Electronics,0.11,74,Africa,Low
178,Trend 178,Leg base or than situation over I.,11/23/2023,12/18/2023,18,Wearable Technology,0.28,41,North America,High
179,Trend 179,Condition simply conference into so first area.,3/17/2021,1/19/2023,25,Home Automation,0.49,1,South America,High
180,Trend 180,Spend customer say southern fine.,12/24/2021,5/25/2020,164,Consumer Electronics,0.14,14,North America,High
181,Trend 181,Else care respond investment keep.,1/22/2023,4/27/2023,134,Consumer Electronics,0.04,32,Europe,High
182,Trend 182,Expert include whether month medical.,9/15/2020,2/17/2022,48,Gaming,0.39,23,Asia,Medium
183,Trend 183,Spend total poor fill tell true.,3/19/2021,9/9/2020,118,Wearable Technology,0.23,32,Australia,High
184,Trend 184,Development enough election safe during.,5/16/2023,6/27/2023,33,Home Automation,0.2,47,South America,Medium
185,Trend 185,Vote meeting reflect others bring.,10/31/2021,9/2/2023,108,Home Automation,0.2,10,Australia,Low
186,Trend 186,Ball carry direction wonder us.,4/19/2023,5/31/2024,169,Gaming,0.3,87,North America,High
187,Trend 187,Offer art change exactly remain lose computer professional.,1/17/2023,1/12/2021,132,Wearable Technology,0.29,100,Australia,Medium
188,Trend 188,Physical just successful gun prove another.,7/2/2022,4/17/2022,135,Consumer Electronics,0.08,13,South America,High
189,Trend 189,Alone figure which behind authority book measure.,2/9/2020,5/25/2021,193,Gaming,0.01,25,South America,High
190,Trend 190,Particular fly security poor recognize fast dark.,11/12/2021,6/9/2020,5,Business Electronics,0.11,90,Africa,High
191,Trend 191,Place world sell remain film administration.,6/6/2020,9/1/2020,193,Gaming,0.08,57,South America,Low
192,Trend 192,Only administration audience business surface.,9/12/2022,11/9/2020,63,Home Automation,0.01,71,Africa,Low
193,Trend 193,Activity table sport without single morning three.,5/4/2023,3/20/2023,67,Gaming,0.26,70,Asia,Medium
194,Trend 194,Onto Congress local leave capital nothing.,3/15/2022,6/8/2022,131,Wearable Technology,0.18,70,Europe,High
195,Trend 195,Wrong charge newspaper road collection me sometimes.,1/10/2020,1/26/2020,78,Consumer Electronics,0.03,33,Australia,Medium
196,Trend 196,Democrat key seem market consider mention computer.,1/28/2020,4/19/2024,57,Consumer Electronics,0.49,20,Australia,Low
197,Trend 197,Wish structure anything here old green.,6/8/2024,6/9/2023,45,Gaming,0.45,49,South America,High
198,Trend 198,Treatment even plan full major.,6/25/2023,7/18/2021,115,Business Electronics,0.46,14,Europe,Medium
199,Trend 199,Forget western believe he theory air.,11/13/2021,2/25/2021,148,Gaming,0.41,98,Australia,Low
200,Trend 200,Instead hard she force industry different.,6/15/2023,12/13/2021,198,Home Automation,0.41,30,Australia,Low
